Ticker,AssetType,first_date,last_date,n_days,avg_volume,median_price
FDX,Stock,1980-01-02,2017-11-10,9547,1576855.1391012883,33.805
FTNT,Stock,2009-11-17,2017-11-10,2010,2009920.86119403,24.2
GD,Stock,1977-01-03,2017-11-10,10304,1658106.108792702,14.416
GILD,Stock,1992-01-22,2017-11-10,6496,16726013.180264778,8.3059
GIS,Stock,1983-06-10,2017-11-10,8680,3351802.048502304,15.253
GM,Stock,2010-11-17,2017-11-10,1759,16387265.94712905,29.354
GOOG,Stock,2014-03-27,2017-11-10,916,1725987.538209607,711.005
GOOGL,Stock,2004-08-19,2017-11-10,3333,7951733.852985298,295.61
GS,Stock,1999-05-04,2017-11-10,4661,6257749.463205321,128.49
HAL,Stock,1981-12-31,2017-11-10,9043,7354899.103173725,13.3
HD,Stock,1981-09-22,2017-11-10,9114,9206449.935813036,22.042
HLT,Stock,2013-12-12,2017-11-10,987,3014157.828774063,51.534
HMC,Stock,2005-02-25,2017-11-10,3201,711532.330521712,31.205
HON,Stock,1970-01-02,2017-11-10,12072,2409892.385188867,13.487
HSY,Stock,1985-07-01,2017-11-10,8160,1071301.1893382352,27.2255
HUM,Stock,1981-12-31,2017-11-10,9044,1208045.0600398055,17.5845
IBM,Stock,1962-01-02,2017-11-10,14059,5782966.342058468,23.029
ICE,Stock,2005-11-15,2017-11-10,3018,6546865.724652087,25.716
ILMN,Stock,2005-02-25,2017-11-10,3201,1737981.7066541705,47.13
INTU,Stock,1993-03-22,2017-11-10,6208,4118415.665109536,23.386000000000003
ISRG,Stock,2005-02-25,2017-11-10,3201,1920957.1646360513,120.31
JNJ,Stock,1970-01-02,2017-11-10,12074,7443710.893572967,8.565850000000001
JPM,Stock,1970-01-02,2017-11-10,12074,10770428.520208713,8.7675
K,Stock,1984-12-17,2017-11-10,8295,1440618.9174201326,26.889
KLAC,Stock,1990-03-26,2017-11-10,6962,5709537.70066073,26.5
KMB,Stock,1984-12-17,2017-11-10,8295,1879334.6296564196,42.373
KMI,Stock,2011-02-15,2017-11-10,1697,11429850.59693577,27.557
KO,Stock,1970-01-02,2017-11-10,12075,11970128.150890268,8.7194
KR,Stock,1977-01-03,2017-11-10,10306,5973214.676013973,5.9988
KSU,Stock,2005-02-25,2017-11-10,3201,1200833.2499218995,51.076
LLY,Stock,1982-01-04,2017-11-10,9044,4654168.535935427,30.477
LMT,Stock,1977-01-03,2017-11-10,10304,1385043.6138392857,27.680999999999997
LOW,Stock,1985-07-01,2017-11-10,8158,8390699.952071587,15.216000000000001
LRCX,Stock,1990-03-26,2017-11-10,6956,2745636.250718804,25.387999999999998
LUV,Stock,1980-01-02,2017-11-10,9548,4625810.339652283,7.6949
LVS,Stock,2005-02-25,2017-11-10,3201,13709615.472039988,43.435
MA,Stock,2006-05-24,2017-11-10,2888,15682289.587603878,38.2825
MAR,Stock,1993-10-13,2017-11-10,6065,2477692.1131079965,23.82
MCD,Stock,1970-01-02,2017-11-10,12075,5628423.37184265,10.81
MCHP,Stock,1993-03-19,2017-11-10,6208,3250299.982764175,22.783
MDLZ,Stock,2006-10-02,2017-11-10,2799,11013439.581279028,23.107
MDT,Stock,1981-12-31,2017-11-10,9044,4982414.175364883,29.393
